Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Latitude,Longitude
2017,1,1,0,30,5.4,0,0,0,0,-15.3,0,0,0,0,0.271,20.87,166.3,0.2,915,0.4,174,1.5,34.33,62.18
2017,1,1,1,30,5.5,0,0,0,0,-15.4,0,0,0,0,0.27,20.53,156.3,0.2,915,0.4,174,1.5,,
2017,1,1,2,30,5.6,0,0,0,0,-15.5,0,0,0,0,0.268,20.3,144.34,0.2,915,0.4,173,1.4,,
2017,1,1,3,30,5.7,0,0,0,0,-15.4,0,0,0,0,0.268,20.19,131.98,0.2,915,0.4,171,1.4,,
2017,1,1,4,30,10,0,0,0,7,-4.3,0,0,0,0,0.243,36.17,119.67,0.2,916,1.5,77,1.2,,
2017,1,1,5,30,9.3,0,0,0,4,-4.4,0,0,0,0,0.243,37.86,107.59,0.2,916,1.4,91,1.3,,
2017,1,1,6,30,9.4,0,0,0,4,-4.5,0,0,0,0,0.243,37.08,95.96,0.2,916,1.4,108,1.3,,
2017,1,1,7,30,11.9,35,228,56,4,-4,29,0,3,29,0.243,32.63,84.89,0.2,917,1.5,142,1.6,,
2017,1,1,8,30,15.3,75,560,219,7,-3,39,0,3,39,0.243,28.24,75.11,0.2,917,1.5,182,2.6,,
2017,1,1,9,30,17.3,97,703,374,7,-4.8,95,0,1,95,0.244,21.8,66.81,0.2,917,1.5,206,3.7,,
2017,1,1,10,30,18.2,112,762,485,3,-5.2,225,168,0,307,0.243,19.98,60.72,0.2,917,1.6,216,4.5,,
2017,1,1,11,30,18.7,117,794,542,3,-4.7,243,265,0,385,0.242,20.04,57.59,0.2,916,1.6,219,5,,
2017,1,1,12,30,19.1,114,794,536,4,-3.8,156,1,0,157,0.241,20.85,57.88,0.2,915,1.7,223,5.2,,
2017,1,1,13,30,19,109,756,469,4,-3,116,0,0,116,0.24,22.3,61.56,0.2,915,1.7,227,5,,
2017,1,1,14,30,18.2,94,685,349,4,-2.6,38,0,0,38,0.241,24.27,68.08,0.2,915,1.6,230,4.1,,
2017,1,1,15,30,16,69,524,190,3,-2.2,14,0,3,14,0.242,28.72,76.67,0.2,915,1.6,228,2.5,,
2017,1,1,16,30,13.6,25,147,34,4,-1.1,3,0,3,3,0.244,36.19,86.62,0.2,915,1.5,217,1.6,,
2017,1,1,17,30,12.4,0,0,0,4,-1.5,0,0,0,0,0.246,37.99,97.89,0.2,915,1.5,203,1.7,,
2017,1,1,18,30,11.8,0,0,0,4,-2,0,0,0,0,0.247,38.2,109.61,0.2,915,1.5,194,1.8,,
2017,1,1,19,30,11.6,0,0,0,4,-2.4,0,0,0,0,0.247,37.68,121.74,0.2,915,1.5,192,2,,
2017,1,1,20,30,11.6,0,0,0,4,-2.6,0,0,0,0,0.247,37.06,134.09,0.2,915,1.5,191,2.1,,
2017,1,1,21,30,11.5,0,0,0,7,-2.8,0,0,0,0,0.248,36.84,146.41,0.2,915,1.5,190,2.2,,
2017,1,1,22,30,11.3,0,0,0,7,-2.9,0,0,0,0,0.249,36.91,158.2,0.2,914,1.6,186,2.4,,
2017,1,1,23,30,11.4,0,0,0,7,-3,0,0,0,0,0.25,36.46,167.35,0.2,914,1.6,184,2.7,,
