Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2818969,-,-,-,35.25,62.3,5,718,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,5.1000000000000005,0,0,0,7,0.7000000000000001,0,0,0,0,0.301,73.16,166.74,0.24,934,1.6,300,1.4000000000000001
2018,1,1,1,30,4.5,0,0,0,6,0.9,0,0,0,0,0.302,77.34,165.5,0.24,934,1.6,297,1.4000000000000001
2018,1,1,2,30,3.8000000000000003,0,0,0,6,1,0,0,0,0,0.301,81.9,155.84,0.24,934,1.6,295,1.2000000000000002
2018,1,1,3,30,3.3000000000000003,0,0,0,6,1.1,0,0,0,0,0.299,85.25,144.08,0.24,934,1.6,291,1.1
2018,1,1,4,30,3.1,0,0,0,6,1.1,0,0,0,0,0.297,86.77,131.88,0.24,934,1.6,288,1
2018,1,1,5,30,3.2,0,0,0,0,-13.8,0,0,0,0,0.273,27.61,119.7,0.18,932,0.4,216,1.9000000000000001
2018,1,1,6,30,3.1,0,0,0,0,-13.5,0,0,0,0,0.272,28.34,107.74000000000001,0.18,932,0.4,214,1.8
2018,1,1,7,30,3.6,0,0,0,0,-13.3,0,0,0,0,0.271,27.87,96.24000000000001,0.18,933,0.4,212,1.8
2018,1,1,8,30,6.5,28,405,61,1,-12.600000000000001,28,405,0,61,0.27,24.14,85.28,0.18,933,0.4,214,2.1
2018,1,1,9,30,10.700000000000001,54,740,238,0,-11.200000000000001,54,740,0,238,0.271,20.23,75.65,0.18,933,0.4,218,2.6
