Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Pressure,Temperature,Wind Speed,GHI,Wind Direction,Latitude,Longitude
2000,1,1,0,30,0,0,-10,8590,5,0.2,0,28.3,33.15,70.05
2000,1,1,1,30,0,0,-11,8580,5,0.2,0,29,,
2000,1,1,2,30,0,0,-12,8580,5,0.2,0,29.8,,
2000,1,1,3,30,0,0,-13,8580,4,0.2,0,31,,
2000,1,1,4,30,0,0,-13,8570,4,0.2,0,32.1,,
2000,1,1,5,30,0,0,-13,8570,4,0.2,0,33.2,,
2000,1,1,6,30,0,0,-8,8590,4,0.3,0,33.5,,
2000,1,1,7,30,0,0,-8,8600,4,0.3,0,33.2,,
2000,1,1,8,30,0,0,-8,8600,4,0.3,0,32.9,,
2000,1,1,9,30,51,141,-8,8600,8,0.3,66,32.4,,
2000,1,1,10,30,86,589,-9,8610,12,0.2,247,32,,
2000,1,1,11,30,108,738,-10,8600,17,0.1,412,32.5,,
2000,1,1,12,30,121,811,-11,8590,20,0,532,31.1,,
2000,1,1,13,30,126,841,-11,8580,21,0,591,19.8,,
2000,1,1,14,30,126,838,-12,8580,22,0,584,17.6,,
2000,1,1,15,30,119,801,-12,8570,21,0.1,510,16.4,,
2000,1,1,16,30,104,716,-12,8570,20,0.1,379,15.7,,
2000,1,1,17,30,82,519,-11,8570,16,0.2,205,15,,
2000,1,1,18,30,16,0,-11,8580,12,0.2,16,15.1,,
2000,1,1,19,30,0,0,-11,8590,10,0.2,0,16.3,,
2000,1,1,20,30,0,0,-11,8600,9,0.2,0,18.6,,
2000,1,1,21,30,0,0,-11,8600,8,0.1,0,21.1,,
2000,1,1,22,30,0,0,-12,8600,8,0.1,0,23.5,,
2000,1,1,23,30,0,0,-12,8590,8,0.1,0,25.6,,
2000,1,2,0,30,0,0,-13,8590,7,0.1,0,27.6,,
2000,1,2,1,30,0,0,-13,8580,7,0.1,0,29.5,,
2000,1,2,2,30,0,0,-14,8580,7,0.1,0,31.3,,
2000,1,2,3,30,0,0,-13,8580,6,0.1,0,32.9,,
2000,1,2,4,30,0,0,-13,8580,6,0.2,0,33.7,,
2000,1,2,5,30,0,0,-12,8580,5,0.2,0,33.9,,
2000,1,2,6,30,0,0,-11,8590,5,0.2,0,33.7,,
2000,1,2,7,30,0,0,-10,8590,4,0.2,0,33.4,,
2000,1,2,8,30,0,0,-10,8600,5,0.2,0,33.1,,
2000,1,2,9,30,50,139,-10,8600,8,0.2,65,32.7,,
2000,1,2,10,30,86,593,-10,8610,13,0.1,248,32.6,,
2000,1,2,11,30,109,742,-11,8610,17,0,414,34.5,,
2000,1,2,12,30,121,814,-11,8600,19,0,534,14,,
2000,1,2,13,30,127,843,-12,8590,20,0.1,594,14.4,,
2000,1,2,14,30,126,840,-12,8590,20,0.1,587,14.4,,
2000,1,2,15,30,119,804,-11,8590,19,0.2,514,14,,
2000,1,2,16,30,105,719,-11,8590,17,0.2,382,13.9,,
2000,1,2,17,30,81,534,-11,8590,14,0.2,209,13.9,,
2000,1,2,18,30,14,0,-10,8590,10,0.2,14,14.2,,
2000,1,2,19,30,0,0,-10,8600,8,0.2,0,15.2,,
2000,1,2,20,30,0,0,-10,8610,7,0.1,0,18.2,,
2000,1,2,21,30,0,0,-10,8610,7,0.1,0,24.6,,
2000,1,2,22,30,0,0,-10,8610,6,0.1,0,27.4,,
2000,1,2,23,30,0,0,-10,8600,6,0.2,0,28.6,,
2000,1,3,0,30,0,0,-10,8600,6,0.2,0,29.3,,
2000,1,3,1,30,0,0,-11,8590,6,0.2,0,29.7,,
2000,1,3,2,30,0,0,-11,8590,6,0.2,0,30.2,,
2000,1,3,3,30,0,0,-11,8590,6,0.2,0,30.8,,
2000,1,3,4,30,0,0,-12,8580,6,0.2,0,31.5,,
2000,1,3,5,30,0,0,-12,8580,5,0.2,0,31.9,,
2000,1,3,6,30,0,0,-12,8580,5,0.2,0,32.2,,
2000,1,3,7,30,0,0,-12,8580,5,0.2,0,32.3,,
2000,1,3,8,30,0,0,-12,8590,5,0.2,0,32.2,,
2000,1,3,9,30,51,137,-12,8590,9,0.1,65,31.6,,
2000,1,3,10,30,86,593,-12,8600,14,0.1,248,30.1,,
2000,1,3,11,30,109,742,-12,8600,18,0,414,19.9,,
2000,1,3,12,30,113,811,-12,8590,20,0.1,525,17.7,,
2000,1,3,13,30,127,845,-12,8580,21,0.1,596,17.5,,
2000,1,3,14,30,126,842,-12,8570,21,0.2,589,17.3,,
2000,1,3,15,30,120,807,-12,8570,20,0.2,517,17,,
2000,1,3,16,30,105,725,-13,8560,19,0.2,386,16.7,,
2000,1,3,17,30,80,552,-13,8560,16,0.2,213,15.8,,
2000,1,3,18,30,17,0,-13,8570,11,0.2,17,15.6,,
2000,1,3,19,30,0,0,-13,8570,10,0.2,0,16.6,,
2000,1,3,20,30,0,0,-13,8580,8,0.2,0,18.4,,
2000,1,3,21,30,0,0,-14,8580,8,0.1,0,20.7,,
2000,1,3,22,30,0,0,-15,8580,7,0.1,0,22.9,,
2000,1,3,23,30,0,0,-16,8580,7,0.1,0,24.6,,
2000,1,4,0,30,0,0,-16,8570,7,0.1,0,25.5,,
2000,1,4,1,30,0,0,-17,8570,6,0.1,0,25.8,,
2000,1,4,2,30,0,0,-17,8560,6,0.1,0,25.8,,
2000,1,4,3,30,0,0,-17,8560,6,0.1,0,25.2,,
2000,1,4,4,30,0,0,-18,8560,6,0.1,0,24.8,,
2000,1,4,5,30,0,0,-18,8560,5,0.1,0,25,,
2000,1,4,6,30,0,0,-18,8550,5,0.1,0,25.5,,
2000,1,4,7,30,0,0,-18,8560,5,0.1,0,26.1,,
2000,1,4,8,30,0,0,-18,8560,5,0.1,0,26.6,,
2000,1,4,9,30,42,268,-17,8570,9,0.1,69,27.3,,
2000,1,4,10,30,90,590,-16,8580,13,0,252,25.1,,
2000,1,4,11,30,110,756,-18,8580,17,0.1,421,15.6,,
2000,1,4,12,30,114,827,-18,8580,18,0.1,535,14.6,,
2000,1,4,13,30,128,858,-18,8570,19,0.2,605,14.1,,
2000,1,4,14,30,117,837,-17,8570,18,0.2,579,13.7,,
2000,1,4,15,30,121,820,-17,8570,17,0.2,526,13.6,,
2000,1,4,16,30,106,737,-16,8570,15,0.2,393,13.8,,
2000,1,4,17,30,82,555,-15,8570,12,0.2,218,13.9,,
2000,1,4,18,30,19,0,-15,8580,8,0.2,19,14.1,,
2000,1,4,19,30,0,0,-14,8580,7,0.1,0,15.6,,
2000,1,4,20,30,0,0,-14,8580,6,0,0,20.1,,
2000,1,4,21,30,0,0,-14,8590,5,0.1,0,25.9,,
2000,1,4,22,30,0,0,-14,8590,5,0.1,0,27.9,,
2000,1,4,23,30,0,0,-15,8580,5,0.2,0,28.7,,
2000,1,5,0,30,0,0,-16,8580,5,0.2,0,29.1,,
2000,1,5,1,30,0,0,-17,8580,5,0.2,0,29.1,,
2000,1,5,2,30,0,0,-18,8580,5,0.2,0,29.1,,
2000,1,5,3,30,0,0,-18,8580,4,0.2,0,29.5,,
2000,1,5,4,30,0,0,-19,8580,4,0.2,0,30.3,,
2000,1,5,5,30,0,0,-19,8580,4,0.1,0,31.3,,
2000,1,5,6,30,0,0,-19,8580,4,0.1,0,32.3,,
2000,1,5,7,30,0,0,-19,8580,3,0.1,0,33.4,,
2000,1,5,8,30,0,0,-19,8590,4,0.1,0,34.4,,
2000,1,5,9,30,46,223,-18,8590,8,0,69,35.3,,
2000,1,5,10,30,87,608,-17,8600,12,0,253,10.4,,
2000,1,5,11,30,103,757,-18,8600,15,0,416,16.6,,
2000,1,5,12,30,114,828,-18,8600,17,0.1,536,17.8,,
2000,1,5,13,30,118,850,-18,8590,18,0.1,592,17.7,,
2000,1,5,14,30,118,839,-18,8580,19,0.1,582,17,,
2000,1,5,15,30,121,824,-18,8580,18,0.2,531,16.5,,
2000,1,5,16,30,107,742,-17,8580,17,0.2,398,16.1,,
2000,1,5,17,30,83,565,-16,8580,13,0.2,222,15.2,,
2000,1,5,18,30,26,17,-15,8590,9,0.2,28,15,,
2000,1,5,19,30,0,0,-14,8590,8,0.2,0,15.5,,
